title,year,runtime,genre,imdb_rating,votes,certificate,metascore,gross
Люди в чёрном,1997,98,"['Action', 'Adventure', 'Comedy']",7.3,585673,0+,71,250690539
Casablanca,1942,102,"['Drama', 'Romance', 'War']",8.5,584376,6+,100,1024560
Человек-паук: Через Вселенные,2018,117,"['Animation', 'Action', 'Adventure']",8.4,583958,6+,87,190241310
Капитан Марвел,2019,123,"['Action', 'Adventure', 'Sci-Fi']",6.8,580671,16+,64,426829839
Пипец,2010,117,"['Action', 'Comedy', 'Crime']",7.6,575802,14+,66,48071303
Мачо и ботан,2012,109,"['Action', 'Comedy', 'Crime']",7.2,575681,16+,69,138447667
Зомби по имени Шон,2004,99,"['Comedy', 'Horror']",7.9,572064,16+,76,13542874
Стрингер,2014,117,"['Crime', 'Drama', 'Thriller']",7.8,570894,18+,76,32381218
Оно,2017,135,['Horror'],7.3,570762,18+,69,327481748
The Kashmir Files,2022,170,['Drama'],8.7,569272,,0,0
Гарри Поттер и Дары смерти: Часть I,2010,146,"['Adventure', 'Family', 'Fantasy']",7.7,568960,12+,65,295983305
Малыш на драйве,2017,113,"['Action', 'Crime', 'Drama']",7.6,568199,18+,86,107825862
Великий Гэтсби,2013,143,"['Drama', 'Romance']",7.2,566536,16+,55,144840419
Особое мнение,2002,145,"['Action', 'Crime', 'Mystery']",7.6,565901,16+,80,132072926
Гарри Поттер и Принц-полукровка,2009,153,"['Action', 'Adventure', 'Family']",7.6,565346,16+,78,301959197
Кровавый алмаз,2006,143,"['Adventure', 'Drama', 'Thriller']",8.0,564656,18+,64,57366262
Хранители,2009,162,"['Action', 'Drama', 'Mystery']",7.6,563400,16+,56,107509799
Из машины,2014,108,"['Drama', 'Sci-Fi', 'Thriller']",7.7,562815,R,78,25442958
Зодиак,2007,157,"['Crime', 'Drama', 'Mystery']",7.7,562792,16+,79,33080084
Гадкий я,2010,95,"['Animation', 'Adventure', 'Comedy']",7.6,561820,0+,72,251513985
Люди Икс 2,2003,134,"['Action', 'Sci-Fi', 'Thriller']",7.4,561508,12+,68,214949694
Идентификация Борна,2002,119,"['Action', 'Mystery', 'Thriller']",7.9,559437,16+,68,121661683
Не смотрите наверх,2021,138,"['Comedy', 'Drama', 'Sci-Fi']",7.2,559396,18+,49,0
Богемская рапсодия,2018,134,"['Biography', 'Drama', 'Music']",7.9,557084,18+,49,216428042
"Я, робот",2004,115,"['Action', 'Mystery', 'Sci-Fi']",7.1,555484,12+,59,144801023
Монти Пайтон и священный Грааль,1975,91,"['Adventure', 'Comedy', 'Fantasy']",8.2,552527,,91,1229197
По соображениям совести,2016,139,"['Biography', 'Drama', 'History']",8.1,551417,18+,71,67209615
Тихое место,2018,90,"['Drama', 'Horror', 'Sci-Fi']",7.5,550981,16+,82,188024361
Назад в будущее 2,1989,108,"['Adventure', 'Comedy', 'Sci-Fi']",7.8,549204,12+,57,118500000
Троя,2004,163,['Drama'],7.3,549119,16+,56,133378256
Хоббит: Битва пяти воинств,2014,144,"['Adventure', 'Fantasy']",7.4,548442,6+,59,255119788
Пираты Карибского моря: На странных берегах,2011,137,"['Action', 'Adventure', 'Fantasy']",6.6,542317,12+,45,241063875
Восстание планеты обезьян,2011,105,"['Action', 'Drama', 'Sci-Fi']",7.6,540957,14+,68,176760185
Обливион,2013,124,"['Action', 'Adventure', 'Sci-Fi']",7.0,537968,12+,54,89021735
Тайна Коко,2017,105,"['Animation', 'Adventure', 'Comedy']",8.4,536558,12+,81,209726015
Казино,1995,178,"['Crime', 'Drama']",8.2,535815,18+,73,42438300
Эта дурацкая любовь,2011,118,"['Comedy', 'Drama', 'Romance']",7.4,534611,PG-13,68,84351197
Джуно,2007,96,"['Comedy', 'Drama']",7.5,533741,12+,81,143495265
Довод,2020,150,"['Action', 'Sci-Fi', 'Thriller']",7.3,532410,16+,69,58456624
В погоне за счастьем,2006,117,"['Biography', 'Drama']",8.0,531844,12+,64,163566459
500 дней летa,2009,95,"['Comedy', 'Drama', 'Romance']",7.7,531569,PG-13,76,32391374
Исходный код,2011,93,"['Action', 'Drama', 'Mystery']",7.5,531526,12+,74,54712227
Люди Икс: Последняя битва,2006,104,"['Action', 'Adventure', 'Sci-Fi']",6.6,527448,12+,58,234362462
Человек дождя,1988,133,['Drama'],8.0,527353,16+,65,178800000
Хорошо быть тихоней,2012,103,['Drama'],7.9,527236,16+,67,17742948
"Три билборда на границе Эббинга, Миссури",2017,115,"['Comedy', 'Crime', 'Drama']",8.1,527019,18+,88,54513740
Матрица: Революция,2003,129,"['Action', 'Sci-Fi']",6.7,526301,16+,47,139313948
Заклятие,2013,112,"['Horror', 'Mystery', 'Thriller']",7.5,525959,16+,68,137400141
Зеленая книга,2018,130,"['Biography', 'Comedy', 'Drama']",8.2,520803,16+,69,85080171
Сплит,2016,117,"['Horror', 'Thriller']",7.3,519041,16+,62,138291365
Человек-паук: Вдали от дома,2019,129,"['Action', 'Adventure', 'Comedy']",7.4,517970,12+,69,390532085
